Food item,Unit,Global average water footprint (litres)
Apple or pear,1 kg,700
Banana,1 kg,860
Beef,1 kg,15500
Beer (from barley),1 glass of 250 ml,75
Bread (from wheat),1 kg,1300
Cabbage,1 kg,200
Cheese,1 kg,5000
Chicken,1 kg,3900
Chocolate,1 kg,24000
Coffee,1 cup of 125 ml,140
Cucumber or pumpkin,1 kg,240
Dates,1 kg,3000
Groundnuts (in shell),1 kg,3100
Lettuce,1 kg,130
Maize,1 kg,900
Mango,1 kg,1600
Milk,1 glass of 250 ml,250
Olives,1 kg,4400
Orange,1 kg,460
Peach or nectarine,1 kg,1200
Pork,1 kg,4800
Potato,1 kg,250
Rice,1 kg,3400
Sugar (from sugar cane),1 kg,1500
Tea,1 cup of 250 ml,30
Tomato,1 kg,180
Wine,1 glass of 125 ml,120
